Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Коваленко,Одарка,Святославівна,Жінка,02.12.1971,Ріелтор,село Пустомити,"проспект Спортивний, буд. 7, Дубно, 43749",+380 19 149-22-83,varfolomiizakharenko@example.net
Алексійчук,Юстим,Олегович,Чоловік,04.12.1962,Археолог,село Старий Крим,"провулок Артезіанська, буд. 3 кв. 2, Ланівці, 63870",+380 83 761-70-91,shapovalpetro@example.com
Саєнко,Венедикт,Васильович,Чоловік,26.11.1993,Дерун,хутір Олександрівськ,"провулок Пересипський міст, буд. 603, Святогірськ, 94279",027 521 03 80,tbaranyk@example.net
Оліфіренко,Лілія,Зеновіївна,Жінка,29.11.1980,Льотчик,селище Моршин,"шосе Магнітогорський, буд. 866, Рава-Руська, 67420",789 23 27,frankonestor@example.com
Іванченко,Йосип,Степанович,Чоловік,04.12.1961,Музичний редактор,селище Яремче,"вулиця Офіцерський 2-й, буд. 986 кв. 602, Первомайськ, 12526",+380 23 375 25 30,zlatoslava49@example.net
Гаврилець,Йосип,Степанович,Чоловік,04.12.1963,Скульптор,місто Новомиргород,"проспект Обільний 2-й, буд. 7, Тячів, 46965",+380 29 889 52 08,hanna69@example.net
Колодуб,Одарка,Зеновіївна,Жінка,25.11.1998,Композитор,хутір Копичинці,"парк Ванний, буд. 598 кв. 8, Овруч, 61536",+380 07 202-73-20,hrytsenkooryna@example.net
Бабій,Петро,Ігорович,Чоловік,27.11.1989,Співак,селище Борислав,"шосе Профспілкова, буд. 29 кв. 9, Старобільськ, 41342",000 189-02-34,havrylo21@example.com
Скопенко,Юхим,Григорійович,Чоловік,29.11.1983,Правник,місто Кипуче,"проспект Добровольського, буд. 040 кв. 71, Теребовля, 17202",+380 (12) 316-76-60,klymentmakarenko@example.com
Чорновіл,Омелян,Ігорович,Чоловік,04.12.1961,Євнух,місто Городня,"провулок Рівності 2-й, буд. 6 кв. 276, Узин, 68507",+380 76 778 55 01,borys63@example.org
Артеменко,Амвросій,Святославович,Чоловік,01.12.1975,Сантехнік,селище Мерефа,"набережна Володимира Вінниченка, буд. 335, Гірник , 32323",051 678 56 05,azarolifirenko@example.org
Верменич,Ольга,Богданівна,Жінка,30.11.1979,Промисловець,хутір Прип'ять ,"площа Дніпровська, буд. 55 кв. 366, Липовець, 39426",187-81-57,alinaivashchenko@example.org
Чалий,Ярина,Максимівна,Жінка,26.11.1994,Географ,селище Федорівка,"сквер Павла Шклярука, буд. 4, Тернопіль, 48202",+380 (35) 252-79-16,fedirchmil@example.com
Яковенко,Святослава,Артемівна,Жінка,24.11.2001,Слідчий,село Судова Вишня,"шосе Магнітогорський, буд. 364, Таврійськ, 06009",709-81-00,orysia26@example.org
Вернигора,Лариса,Зеновіївна,Жінка,03.12.1965,Акушер,місто Сорокине,"шосе Ширяївський, буд. 7, Суходільськ, 82540",154-17-13,olha84@example.net
Гунько,Марко,Богданович,Чоловік,01.12.1974,Електротехнік,хутір Городище ,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 5, Чорнобиль, 79706",+380 23 133-45-82,everes@example.net
Лисенко,Мирослав,Ярославович,Чоловік,05.12.1957,Літературознавець,село Верхівцеве,"провулок Лінія 29-та, буд. 1, Рожище, 75832",+380 17 732 07 15,polifirenko@example.net
Туркало,Оксана,Святославівна,Жінка,26.11.1994,Економіст,село Кременець,"площа Закарпатська, буд. 6, Макіївка, 38587",+380 39 861 28 89,vdovychenkohryhorii@example.com
Романчук,Ярослава,Зеновіївна,Жінка,01.12.1975,Ґрунтознавець,селище Снятин,"провулок Політкаторжан, буд. 9, Волноваха, 57208",979-13-88,erikanestaiko@example.com
Верменич,Альберт,Тарасович,Чоловік,26.11.1994,Парфюмер,селище Ананьїв,"сквер Травневий, буд. 39, Феодосія, 90099",+380 59 705-33-46,arkadii62@example.net
Прокопович,Антон,Ярославович,Чоловік,25.11.1998,Гінеколог,хутір Радивилів,"площа Катаєва, буд. 446 кв. 2, Сокаль, 12604",+380 28 870 91 39,iosyp34@example.net
Канівець,Валентин,Григорійович,Чоловік,05.12.1957,Піаніст,хутір Кобеляки,"проспект Молодіжна, буд. 67, Київ, 42262",+380 11 590-28-12,ltarasenko@example.net
Талан,Венедикт,Тарасович,Чоловік,24.11.2001,Клоун,місто Теребовля,"проспект Київське, буд. 019, Путивль, 17724",021 607-43-89,gizhak@example.org
Непорожній,Володимир,Григорійович,Чоловік,03.12.1965,Фольклорист,місто Тлумач,"площа Соборна, буд. 8, Іллінці, 08772",632-73-99,roksolanaatamanchuk@example.org
Шморгун,Данило,Степанович,Чоловік,30.11.1976,Електрик,селище Біла Церква,"проспект Івасюка Володимира, буд. 22 кв. 1, Дрогобич, 75196",+380 83 418-55-69,lukashvalentyn@example.com
Сиротенко,Володимир,Артемович,Чоловік,27.11.1991,Мірошник,селище Збараж,"шосе Зоопаркова, буд. 42 кв. 6, Заводське, 71836",088 99 82,vladyslavshakhrai@example.org
Артимишин,Юстим,Святославович,Чоловік,29.11.1982,Ґрунтознавець,місто Нетішин,"парк Князівська, буд. 747, Луганськ, 02570",+380 37 221-13-05,varfolomii29@example.org
Вакарчук,Орися,Богданівна,Жінка,29.11.1981,Психолог,хутір Покров,"проспект М’ясоєдовська, буд. 5 кв. 6, Вараш, 47786",987 62 70,zubkovadym@example.net
Вакарчук,Галина,Святославівна,Жінка,29.11.1980,Стиліст,місто Інкерман,"парк Слєпньова, буд. 828, Кальміуське, 42944",+380 66 479 94 77,liudmylaveres@example.com
Яценюк,Артем,Олегович,Чоловік,02.12.1971,Астроном,селище Теребовля,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 401 кв. 775, Бахчисарай, 81222",730 85 37,liliiavoblyi@example.org
Зінчук,Павло,Максимович,Чоловік,06.12.1955,Льотчик,місто Ямпіль,"набережна Яші Гордієнка, буд. 8 кв. 90, Горлівка, 02366",+380 73 247-24-21,htsarenko@example.net
Андрусенко,Людмила,Ярославівна,Жінка,30.11.1976,Скульптор,селище Кропивницький,"узвіз Просьолочна, буд. 9 кв. 320, Вараш, 12546",700 45 50,kovpakvasylyna@example.net
Саченко,Леонід,Ярославович,Чоловік,02.12.1970,Реставратор,місто Зіньків,"шосе Академіка Богатського, буд. 125 кв. 13, Світлодарськ, 20203",+380 25 730-47-59,fvakarchuk@example.net
Парасюк,Олекса,Богданович,Чоловік,29.11.1982,Продюсер,село Васильків,"шосе Павлова, буд. 0, Євпаторія, 11752",+380 19 507-75-43,volodymyrahres@example.org
Базилевич,Богуслав,Степанович,Чоловік,27.11.1988,Піаніст,місто Чигирин,"узвіз Севастопольський, буд. 85 кв. 2, Почаїв, 86404",573-35-69,varfolomii90@example.org
Ажажа,Олександр,Максимович,Чоловік,29.11.1981,Кушнір,селище Новояворівськ,"вулиця Радіо, буд. 90, Новий Калинів, 80185",+380 (04) 319-36-81,lbabychenko@example.org
Юхименко,Дарина,Максимівна,Жінка,02.12.1971,Публіцист,село Червоноград,"проспект 19-та Лінія, буд. 654, Білозерське, 85826",036 058-99-27,lysenkovalentyna@example.com
Ажажа,Оксана,Артемівна,Жінка,28.11.1986,Геофізик,хутір Чугуїв,"площа Тракторна, буд. 149, Мирноград, 44432",001 885-56-17,andriievychserhii@example.org
Шутько,Богданна,Ігорівна,Жінка,01.12.1975,Стропальник,хутір Овруч,"провулок Качалова, буд. 30, Зеленодольськ, 85559",+380 42 639 22 62,omelianandriishyn@example.net
